hash,move,score - This file contains all positions with 6 moves on a 7x6 board.
4432676864149,2,0
4433213669546,3,5
4432676831402,3,4
4432680992938,3,5
4432676798889,3,5
4432678928533,2,0
4501398372501,3,0
4467036537003,3,2
4432676815019,2,2
8830723342485,3,4
4501396275477,3,2
4432685187221,3,1
4433215766677,3,-2
8830727504021,2,4
4433213669653,3,2
13228771917973,3,-2
4432945234091,3,2
4432681009301,5,1
8831260180629,3,2
4432945234325,3,3
4467036537237,3,2
4432945266837,3,2
4570115752085,3,1
8830723309739,3,3
4501664710805,3,1
4467036569749,3,2
8899442786453,3,2
4432676798677,3,1
4432949428373,1,3
13228769837205,3,0
4433213669780,3,4
4432680993045,3,3
4432678896021,3,-2
4467040731285,2,2
4432678895787,3,-2
13229038256277,3,2
8830723309973,3,3
4432676864394,3,0
4432678896522,3,4
4432681009546,3,4
4432680993172,4,4
13228769820949,1,1
4433750540437,3,0
4432685187466,3,0
4433750540682,3,4
4467036537738,1,4
4432676831636,1,2
4467573408138,3,4
4432681025684,4,17
4433213702292,3,17
4467040731530,4,4
4432676831401,3,5
4432949428618,3,3
4467036569994,2,4
8831260180874,3,4
8830723310474,1,4
4432945234826,3,3
4432676831882,3,0
4432676815754,1,9
4432681025802,4,6
4433213702410,3,6
4432678928778,3,0
4432681074826,3,10
4501396291733,3,1
4501396275370,3,3
4433213686154,2,4
4432685219978,4,17
4432676832010,2,4
22024862843029,3,1
8830727504266,3,5
4501396275978,3,3
4432676799125,3,0
4433750573194,3,17
4433213685909,4,2
4433213751434,1,4
4432676896916,2,4
4432676995210,3,4
4467040764042,4,6
4501396308116,3,3
8830723342730,2,4
4467573440650,3,6
8830727536778,4,17
8831260213386,3,17
13228769902730,3,4
8830723408010,3,10
4501396357258,3,4
4432676897034,1,4
4433217863828,2,17
4501400469652,4,17
4432945267082,2,2
4432676880778,1,4
4432949461130,2,4
4433217863946,5,17
4501400469770,4,17
4467036635274,2,4
4432681058442,4,17
4432689397898,2,10
4432680992937,2,5
4467573407893,2,0
4432676798890,3,2
4433215799434,3,0
4570115784842,3,3
4501396275604,3,2
4432678994058,2,3
4432689381524,3,11
4501400486026,3,5
22024862875786,3,4
4501396308234,2,4
4433754734730,2,17
4432687284618,1,4
13228774031498,2,4
4432689381642,3,6
4467577602186,2,6
4570119946378,4,17
4432676799380,1,3
4433215766922,3,0
8831264374922,2,17
4432676831509,1,0
4432680993418,4,3
4433217880202,3,3
4434287411348,4,11
4501933146260,3,17
8830735892618,3,10
4432687317130,3,4
13229306691732,3,3
4501933146378,3,17
4433213670026,3,3
4433213735050,3,17
4433224155274,3,0
13228769837450,2,3
4501398405258,2,2
4433222058122,2,17
4434287427722,4,4
4467049119882,3,6
13228771918218,3,0
4434018975893,3,3
13228774015124,3,4
13228771950730,2,0
13228769821076,3,2
8899442819210,2,5
4432957816970,3,5
13229306708106,3,2
22024867037322,4,5
4570652622986,3,17
4434287411466,4,5
4432945332362,3,4
8899446980746,2,4
4432687284373,3,3
22025399713930,3,5
4435898024074,3,4
4433213669545,3,4
4501935243402,3,0
4570115752330,3,0
4432676799253,1,3
13228774015242,3,4
13297489297674,3,3
4501933162634,3,2
4501404663946,4,17
8832333922442,4,4
4432701964426,2,4
4502470017162,3,17
13228769853588,3,2
4501398372746,3,2
4433213670154,3,3
13228780306570,3,0
13263133753482,3,4
13297489313930,3,4
4638835228938,5,4
4638837325962,5,2
4638835245194,5,3
4432680993546,1,3
4434289508490,4,2
22024862843274,3,3
4501668905098,3,3
4432676800138,3,0
