hash,move,score - This file contains all positions with 4 or 5 moves on a 8x7 board.
144397775465939210,3,9
144397766909559050,4,9
72621656404721930,3,7
72340181428011530,3,7
72340172871696650,3,5
72621647848341770,4,7
72340172854853909,3,-3
72341272383258890,3,6
72340181428011284,3,6
72621647814918410,4,6
72342371861332490,3,3
72340172871631370,4,7
72340172854984970,3,1
72340172921962762,3,3
72340194312913162,4,6
72340172871631124,3,6
72340181428076810,4,2
72340181444788490,4,2
72342371861332244,3,4
72340172838207764,4,4
72341272349704970,4,3
72903122791563530,4,1
72340177133044490,4,0
72342371861397770,3,1
72903122791498250,3,2
72342371878109450,3,0
72341280939639050,5,4
72903122808275210,3,0
72340177166598410,3,4
72340177133043989,3,-4
72340172854854410,3,0
72345670396215562,4,4
72903127086465290,3,0
72340177133175050,4,0
144397766876005130,4,6
72340172838404362,1,4
72341272349835530,3,2
216455365208899850,4,0
72342376156299530,4,0
72340172838076714,4,3
72341272349704469,3,-3
72340172854854155,3,-2
72340172838208010,4,3
72340172838077962,3,2
216455360930709770,3,-2
72904222303125770,3,0
144960716829425930,3,3
216736835890643210,3,2
72621647814787349,2,-2
72903122791498004,4,2
144397766876135690,4,3
73747547721629962,3,3
72341272349705477,3,-2
72623846838042890,2,3
216456460425560330,3,-2
72340172838076950,3,0
72621647814787850,4,2
144399965899260170,3,3
72340177133044997,3,-3
72340172838142730,2,4
72340172871631877,3,2
144397766876004629,3,0
72340177133044235,4,-3
72342371861332997,4,4
216455360913932810,3,0
72340172921963013,3,3
72340172838076949,4,-1
72340172854985221,2,0
72340181428012037,5,4
72340172838078981,3,-2
72903122791498757,4,1
72342371878109701,3,-2
72340177166598661,3,-2
72340181444788741,3,3
72340172838208517,2,-3
72340172838077204,4,2
72340172871696901,3,3
144397775465939461,3,6
72340194312913413,4,-2
72621647848342021,3,3
144399965899260421,4,4
72341272383259141,3,3
72340172854919435,4,-3
72340172838077706,1,1
72340177133175301,2,0
72340172838142475,3,-3
72903122808275461,4,0
72621647814918661,2,2
72342371861398021,4,6
144397766909559301,4,6
72340177133109515,3,-4
216455360930710021,3,-3
72340172838142229,3,-3
72340172854854917,4,-3
216455360913932564,4,1
72903127086465541,3,-4
72341272349966597,3,-3
72621656404722181,4,5
432628143027716362,3,2
72621647815049477,3,2
72340172854919941,3,-3
72340177133306117,3,-4
216455360913933317,4,-2
72340172871827717,3,-2
72340181428077061,4,6
72340172922028293,4,2
72621647814788357,3,-2
72623846838043141,5,2
72340172838273291,3,-4
216455360913998090,3,-3
72903122791563781,4,3
72340172855116037,2,-5
72340172838338826,2,0
72340177133110021,3,-4
144397766876004875,4,3
72342376156299781,4,-4
72340194312978693,3,-3
72340172838143237,4,-3
144397766876266757,3,3
72341272349769995,4,-3
72341280939639301,4,5
144397766876005637,3,0
216736835890643461,3,-3
72340172838077451,1,-2
72903127086530821,3,-4
216455360913998341,3,0
72340172838142230,3,-3
216455365208900101,3,-5
73747547721630213,3,2
72341280939704581,4,3
216455360930775301,4,-2
72621647814787595,4,-3
72903122808340741,4,1
72340181444854021,2,3
72340177166663941,2,3
72340172854855173,3,-1
72342371878174981,4,0
72903122791694597,3,-4
72345670396215813,5,5
72340172855181573,4,3
72340181428207877,1,-3
144397766876070155,4,0
72340172838273797,2,-3
72342371861528837,2,-3
72340172838666501,4,-2
72342376156365061,4,-3
72340177149821701,5,-7
72340172905185546,4,0
72341272366482181,4,-5
72340177149952261,3,-3
72341272349835781,5,-2
72340172838143493,1,3
72341272383324421,5,2
72340172905251077,3,-3
72341272366481675,4,-4
216455365208965381,3,-4
72340172905185797,1,0
72340177200152837,1,-3
72340194329690373,2,-4
72340172888539397,2,-6
72340177149821195,5,-7
72342376173076741,3,-3
72341272366612741,2,-3
72621647831695621,3,-3
72340172989071621,3,-3
144960716829426181,3,2
72621647881896197,3,0
72341280956416261,3,2
72341272349770501,4,-5
72345670412992773,4,1
72903127103242501,2,-7
72621656421499141,4,1
72341272416813317,3,-3
72621656404787461,4,4
216455365225677061,2,-8
72621647831564555,3,-3
144960716829491461,3,3
72340181478342917,3,-3
72340172888408837,4,-6
72340172854853910,3,-5
144397766943113477,4,2
72340177133045253,4,-2
72341276644672261,3,-2
72340185722979077,3,-4
73747547738407173,3,-2
72340177133371653,3,3
216456460442337541,4,-5
144397766892912901,3,0
72340177216930053,2,-3
72621647831565061,3,-4
72904222319902981,3,-3
72621652109755141,3,2
72903122841829637,3,-5
216456460425625861,2,-3
72341276644802821,3,-2
72621652109885701,3,-2
72340172838404613,2,5
72342371911663877,3,-5
72340172888408331,4,-6
72345670396281093,2,3
72340185722978571,3,-5
72904222303191301,2,-3
72340190017945866,3,5
144397766909624581,6,3
72340211492782341,4,-2
72340190017946117,3,0
144397771170972421,3,3
216456460425560581,5,0
144397771204526341,3,5
72621647848407301,3,0
