hash,move,score - This file contains all positions with 4 to 6 moves on a 8x7 board.
72340181428011306,3,8
72340172838338837,3,3
72340177133044501,3,4
72621647814918421,3,6
72340177166598421,4,5
72903127086465301,3,0
72903122808275221,3,0
72340172871631146,4,8
72340172838207786,3,5
72340177133175061,4,2
72340172905185557,3,0
72340181444788501,3,2
72342376156299541,4,2
72340172854984981,3,2
72621647848341781,2,6
72341272349704981,3,3
72621656404721941,3,5
72342371861332501,4,5
72340181428011541,3,5
216455365208899861,3,-1
72340172871631381,3,6
72341272383258901,3,4
72340177133044011,3,3
72903122791563541,4,3
72340172838077717,3,3
144397775465939221,3,7
144399965899260181,3,6
72621647814787371,3,5
72340172838077225,3,6
72340172854853931,3,0
72340172871631636,4,8
72340181428011796,3,8
144397766876005141,3,4
72621647814787861,3,3
72340181428012554,3,7
72344570884587797,5,2
144397766909559061,4,7
72342371861332266,4,5
72342371878109461,3,2
216455360930709781,3,-2
72340190017945877,4,2
72623846838042901,3,3
72340172871696661,3,3
72342371861333514,3,5
72340172871632394,4,7
73466072744919317,4,3
72341280939639061,4,3
72340172854854421,3,-2
72341272349835541,5,4
72340172838078228,1,6
72340172838077226,4,6
72903122791498026,4,5
72903122791498261,4,3
72340172905186058,4,2
72340172871697162,3,6
72340172838076757,4,2
72903122791498516,4,5
144397766876135701,3,4
72341272383259402,4,8
72341280939639562,3,8
72342371861332756,4,5
144397766876004651,3,5
216456460425560341,5,0
72340181428076821,2,4
72340190017946378,3,6
216736835890643221,3,0
72621647848342282,4,7
72621656404722442,3,7
144960716829425941,3,3
72340172838142251,2,4
72342371861397781,2,4
144397775465939722,3,10
144397766909559562,4,10
72340172854855434,3,5
72340181444789002,3,5
72341272349704491,3,2
72340177166598922,3,3
72340172871762196,4,24
72340181428142356,3,24
72340172838208276,4,3
72340172838207785,3,7
216455360913932821,4,2
216455360913998101,3,-2
72621647814788874,4,6
72340172871762442,4,8
72340181428142602,3,8
72341272349705994,1,5
72621647814918922,4,4
72340172838469908,2,7
72340172838079754,4,4
72340172838404373,4,4
72342371861463316,4,8
72340172871958794,3,17
72341272349836042,2,4
72342371878109962,3,3
72340181428338954,3,7
72340172838208021,2,2
72903122791564042,4,5
72340172905316618,4,24
216455360913932586,4,4
216455360930710282,3,2
72340181428077322,2,7
72342371861463562,4,8
72340172838404874,4,7
72342371878240522,5,5
72340190018076938,3,24
72903122808406282,3,3
72903122791825674,3,5
72340181444919562,3,4
72340172855247114,2,4
72342371861659914,2,6
72341272383389962,4,8
72341280939770122,3,8
72340177166729482,2,5
216455360930840842,3,3
72621647815180554,3,17
72621647848472842,4,24
72621656404853002,3,24
216455360914063636,4,7
72340177133437194,2,5
72903122791629076,4,6
144397766876397834,3,17
144397766909690122,4,24
144397775466070282,3,24
144397766876136202,2,6
144399965899391242,3,7
72623846838173962,5,7
72340172838863114,4,5
72340172838339338,4,2
72340181461565716,2,24
72342371894886676,4,24
73466072744919818,4,5
72340177133045514,4,2
72341272350097674,2,6
72340172854985482,3,1
72340181461565962,5,24
72342371894886922,4,24
216736835890774282,3,5
72903127086465802,4,3
72340172871893258,4,24
72340172938805514,2,17
72340172871631145,3,8
72903122825052436,4,8
72340172871632138,4,7
144960716829557002,3,5
72340181461631242,3,8
72340172938739988,3,18
72342371894952202,4,6
72340177133175562,4,3
72903122808275722,3,4
72903122825117962,3,7
72903122825052682,4,7
73466072745050378,4,4
360570548989919498,4,7
72340190051500298,2,24
72340172838208778,4,2
72340172938740234,3,9
216455360947552522,3,5
72342376156430602,4,3
72904222303126282,4,5
72344570918142218,4,24
72341280973193482,3,9
216455360914260234,2,5
72340172922093834,3,5
72621656438276362,2,24
360570548989788938,4,6
72344570884588298,4,2
72903122875384074,3,5
72342376156300042,5,3
144397775499493642,2,24
144399965932814602,4,24
73466072778473738,4,8
72621647915450634,3,17
72341272450367754,4,9
72340172838143754,1,16
72342380451266836,3,24
72903131381432596,5,24
72340198607880468,4,18
72344570884718858,5,4
72340198607880714,4,15
72342380451267082,3,24
72903131381432842,5,24
144960716862980362,4,9
72340181428273418,3,24
216455369503867402,5,8
72342380451332362,6,24
72903131381498122,5,24
216456460425560842,4,4
72340181495120138,2,24
72340181428012298,3,7
72623846871597322,4,6
72342371861398282,2,6
72340181511897354,3,5
144397766876006154,4,6
72340198607945994,4,7
216455365208900362,4,-1
144960716829426442,4,5
72340172838470154,2,6
72340172921963274,1,5
72340224377684234,3,8
72342371945218314,5,5
72904222336680202,3,7
72344579474522378,3,24
72342376189853962,3,5
72340172921962773,3,5
216455360997818634,3,5
72621673584591114,4,9
73466081334853898,5,24
72623855427977482,2,6
144397792645808394,4,18
144399974489194762,3,24
144960725419360522,3,9
216736835890643722,4,4
216455369503867156,5,7
216455360913998602,2,5
72905321814753556,4,24
72346769907843348,5,18
72340181428011305,3,7
216457559937188116,4,7
72905321814753802,4,24
216457559937188362,4,8
72904230893060362,1,5
360570557579723018,3,8
72905321814819082,4,24
72341298119508234,4,7
72342371928441098,4,24
72346769924620554,5,5
144397766976667914,3,18
72340172838209034,2,5
72342389041201418,3,24
72346769907908874,5,6
72346769907843594,4,8
72903122791499274,3,4
72342393336168714,4,7
216455360947487242,3,6
72340194312913674,4,5
216456460459114762,3,6
72903127120019722,6,6
72340194312913173,3,5
216455369503932682,4,3
216736835924197642,3,6
216455365209030922,4,3
73468271768174858,4,24
72628244884553994,5,8
72342371861332265,3,7
72903122791629322,4,4
72340177233707274,3,6
72340198624657674,4,6
216455369520644362,3,4
72340194346467594,4,7
144404363945771274,5,7
72342371861333258,4,5
216455360947486996,3,7
360570549023342858,4,8
72353366977609994,3,5
72340173039403274,4,7
72345670429769994,3,7
216455365242454282,3,3
217018310884131082,4,3
72903139971367178,5,24
360572748013043978,4,6
72342380468044042,5,5
72907520838009098,4,24
74029026993307914,6,6
216736844480577802,3,5
72903131398209802,3,4
72903144266334474,4,6
74029022698406154,6,5
72903122858606858,4,4
72342371861594378,4,4
74029022698340874,6,5
74029022715117834,6,4
72346774202810634,5,4
73747556311564554,3,7
73747547755184394,4,7
72905326109720842,4,3
216455382388769034,4,6
216456469015494922,1,4
146086616736268554,6,6
216457559953965322,3,3
72340194313044234,4,6
216455360913933076,3,3
216455360913933834,3,4
73747547721761034,4,6
72345678986150154,4,6
216457564232155402,4,3
72345670396216074,4,6
74029022698340628,6,5
72903122791499018,4,4
75717872558604554,3,5
216455360914194698,4,3
216455378093801738,3,5
72345670396346634,2,6
216459758960443658,4,3
72903122791760138,4,3
74030122209968394,6,4
73747547721630474,4,6
72904222303256842,5,5
432628151617650954,3,8
216456460425691402,4,3
360570548989788437,4,2
432628143061270794,4,8
216460858472071434,3,4
72903122791498025,3,6
144399965899260682,5,5
144962915852681482,3,4
72905321831530762,3,3
72908620349636874,5,6
216455360981041418,3,2
72903127086596362,2,4
73749746744885514,2,5
217018310867419402,4,2
72340181428011542,3,7
217018310867353876,4,4
72340172838076971,4,3
72340172871631382,4,7
216455360913933578,3,3
72340172838142741,4,0
72340172838077973,1,3
216455360914063882,2,5
216457559937253642,5,3
504685741360611594,7,0
72340172871631883,4,5
217581260820775178,4,2
72342371861332502,3,4
432630342050971914,3,6
72340181428012043,3,5
72340172871696907,3,5
433191092981137674,3,5
72904222303125781,5,3
216455360913932585,3,5
217862735797485834,3,5
72345670396215573,5,5
72342371878109707,3,2
361133498943209738,4,4
72340177133045003,3,0
72342371861398027,4,3
217018310867354122,4,3
72340172854985227,3,2
72340181444788747,3,4
72903122808275467,3,0
72903122791498262,3,5
432628143027847434,4,5
72903122791498763,4,3
504686836577272074,3,2
504685737065709834,2,2
72342371861333003,1,2
72340177166598667,3,3
72340172838142487,3,-2
72340190017946123,3,4
504685737082421514,3,-1
216739034913898762,2,3
504685737065644308,4,3
72340172838078731,3,-2
72623846838043402,6,4
72340172838208022,5,4
72621647848342027,3,6
72341272383259147,3,5
72344570884588043,4,3
216455360930710027,4,-1
72342376156299787,4,-1
504685737065644554,2,3
72340172838076973,4,2
432628143027716874,4,5
144397766909559307,3,6
72903122791563787,4,3
504967212042354954,3,4
217018315162321162,3,1
72340181428077067,4,5
144397775465939467,3,6
72340172905185803,3,-2
72340172838339845,3,25
144399965899260427,4,5
72342371861334533,4,6
72341272349705483,3,-2
72340172838081797,3,5
72340177133044247,4,-2
72340172838079242,4,4
72340172838208523,1,0
72340172905186565,2,25
144397766876005643,3,3
216455360913998347,4,2
72341280939639307,4,3
72340172838078987,4,3
72340172838077718,3,3
72340177133176069,3,25
72340177166599429,2,25
72341272349835787,2,3
72340181428013573,4,6
72340177133046533,3,4
72621647814918667,5,3
72340181444789509,3,0
72341272349836549,3,25
72341272383259909,2,25
72341272349704727,5,-2
72903127086466309,3,2
72340172854854167,2,-5
216455360913933323,1,-1
72903122791500293,4,5
72621647814919429,3,25
72621647848342789,2,25
72340177133175307,4,2
72340172871697669,3,3
72903122808276229,3,0
216455365208900869,3,-2
432628143027716373,3,2
144397766876136709,3,25
144397766909560069,2,25
216736835890643467,4,2
73466072744919563,4,2
72340172854856453,3,-3
72621647814787607,3,-3
72340172838209797,3,25
72341272349707013,3,2
216456460425561349,3,0
144397766876004887,4,2
72342376156300549,5,4
72340172871633413,3,5
72340172838077463,1,-2
72903127086465547,4,2
72904222303126789,3,3
72340172871762949,4,2
144397775465940229,3,7
72340172838339083,2,0
72623846838043147,6,4
72341280939640069,5,4
72342371878110469,3,3
72621656404722949,1,5
144960716829426949,3,5
360570548989788683,4,3
216455360913932822,2,2
73466072744920325,3,4
144399965899261189,3,5
73747547721629973,6,4
720858519179428109,3,5
72342371861464069,2,5
72340172838143243,1,-2
72340181428143109,2,5
144397766876135947,4,3
72621647814789893,3,3
72344570884588805,3,-3
72340190018077189,5,2
72621656404722187,1,4
72340172854985989,2,-2
72340190017946885,4,2
72342371861660165,4,6
72340181444919813,4,4
72340172838470661,2,5
72340177166729733,3,2
72340172855247365,2,4
144397766876007173,3,3
72340172838863365,1,3
72621647848473093,4,6
72621656404853253,3,6
72340172838144773,5,2
216456460425560587,4,0
72903122791564549,5,0
72340172871633157,2,25
72342371878240773,3,5
72340181461566469,5,24
72342371894887429,4,24
216455365208900107,4,-3
360570548989789445,3,3
216736835890644229,3,3
72623846838043909,3,3
72621647815180805,2,6
72340172871893509,2,3
216455360930710789,4,-2
72621647814788363,3,-2
144397766909690373,3,6
72340172905316869,1,0
72903122791825925,3,5
72340172921963019,1,4
72341272383390213,3,4
72903122808406533,3,4
72342376156430853,2,2
72340181461631493,4,7
72340172838210053,3,2
72340190051500549,5,24
216455360914064389,2,2
72340181428077829,2,5
216455360930841093,3,3
72340172838405381,4,5
72342371894952453,3,6
72344570918142469,4,24
144399965899391493,2,7
72623846838174213,2,6
144397766876398085,5,7
144397775466070533,2,6
72340172938740741,4,8
72903122825053189,3,5
216455360947487749,3,0
72621656438276613,3,8
